y_pred_L_lstm_qdplus,y_pred_U_lstm_qdplus,v_lstm_qdplus
-1.0032221,0.95617807,-0.07650028
-1.0008762,0.9424021,-0.071841404
-0.9510436,0.95500886,-0.15487769
-1.0072175,1.0051486,-0.04354143
-1.0732274,1.0457909,-0.019510824
-1.0144076,0.9758767,-0.10507561
-1.0205921,0.99586546,-0.07123063
-0.9897822,0.9804049,-0.0709299
-1.0142274,0.95974404,-0.080903515
-1.0086143,0.99881405,-0.16022371
-1.0092134,1.0109615,-0.035252165
-1.0678576,1.0032098,-0.0390035
-0.996313,0.9684482,-0.158954
-1.0011855,0.97271466,-0.15039927
-1.0238353,1.0043651,-0.10772798
-0.99091154,0.9485534,-0.052194662
-1.0389706,1.0146977,-0.16599096
-1.0102986,1.0619365,-0.04338804
-1.126302,1.0699295,-0.057319533
-1.0763419,1.0488328,-0.10611409
